Student,Proficiency,Ground Truth,IsCorrect,Transcript,Confidence,Distance
1378_HI_S1_S_0,S,Where is your house?,1.0,where is your home,0.92995489,0.8660254037844388
1384_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1389_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1399_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1402_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1407_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1410_HI_S1_S_0,S,Where is your house?,1.0,where is a your house,0.92129362,1.0
1413_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1420_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1424_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1438_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1443_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1447_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1464_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1467_HI_S1_S_0,S,Where is your house?,1.0,aapane class,0.73046255,0.0
1479_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1492_HI_S1_S_0,S,Where is your house?,1.0,where is our house,0.91874254,0.8660254037844388
1494_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1495_HI_S1_S_0,S,Where is your house?,1.0,,,0.0
1501_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1523_HI_S1_S_0,S,Where is your house?,1.0,there is your house,0.92995489,0.8660254037844388
1537_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1552_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1559_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1561_HI_S1_S_0,S,Where is your house?,1.0,was is,0.83340377,0.5
1566_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1595_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1614_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1615_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1629_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
1675_HI_S1_S_0,S,Where is your house?,1.0,house what is your house,0.92995489,0.8164965809277261
1694_HI_S1_S_0,S,Where is your house?,1.0,where is your house,0.92995489,1.0
