Student,Proficiency,Ground Truth,IsCorrect,Transcript,Confidence
1378_HI_S1_S_0,S,Where is your house?,True,where is your home,0.92995489
1384_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1389_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1399_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1402_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1407_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1410_HI_S1_S_0,S,Where is your house?,True,where is a your house,0.92129362
1413_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1420_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1424_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1438_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1443_HI_S1_S_0,S,Where is your house?,True,,
1447_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1464_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1467_HI_S1_S_0,S,Where is your house?,True,aapane class,0.73046255
1479_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1492_HI_S1_S_0,S,Where is your house?,True,where is our house,0.91874254
1494_HI_S1_S_0,S,Where is your house?,True,,
1495_HI_S1_S_0,S,Where is your house?,True,,
1501_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1523_HI_S1_S_0,S,Where is your house?,True,there is your house,0.92995489
1537_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1552_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1559_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1561_HI_S1_S_0,S,Where is your house?,True,was is,0.83340377
1566_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1595_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1614_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1615_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1629_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1675_HI_S1_S_0,S,Where is your house?,True,house what is your house,0.92995489
1694_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1704_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1721_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1733_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1775_HI_S1_S_0,S,Where is your house?,True,where are you where is your horse,0.86548293
1778_HI_S1_S_0,S,Where is your house?,True,where is your home,0.92995489
1779_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1826_HI_S1_S_0,S,Where is your house?,True,,
1839_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
1844_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92110938
1849_HI_S1_S_0,S,Where is your house?,True,where is your house,0.92995489
